ICD-10-CM Code,Model Variable,Models,POA
A799,Other infectious diseases (CC 7),"HWM,HWR",Y
A881,Other infectious diseases (CC 7),"HWM,HWR",Y
A90,Other infectious diseases (CC 7),"HWM,HWR",Y
A91,Other infectious diseases (CC 7),"HWM,HWR",Y
A920,Other infectious diseases (CC 7),"HWM,HWR",Y
A921,Other infectious diseases (CC 7),"HWM,HWR",Y
A924,Other infectious diseases (CC 7),"HWM,HWR",Y
A925,Other infectious diseases (CC 7),"HWM,HWR",Y
A928,Other infectious diseases (CC 7),"HWM,HWR",Y
A929,Other infectious diseases (CC 7),"HWM,HWR",Y
A930,Other infectious diseases (CC 7),"HWM,HWR",Y
A931,Other infectious diseases (CC 7),"HWM,HWR",Y
A932,Other infectious diseases (CC 7),"HWM,HWR",Y
A938,Other infectious diseases (CC 7),"HWM,HWR",Y
A94,Other infectious diseases (CC 7),"HWM,HWR",Y
A950,Other infectious diseases (CC 7),"HWM,HWR",Y
A951,Other infectious diseases (CC 7),"HWM,HWR",Y
A959,Other infectious diseases (CC 7),"HWM,HWR",Y
A960,Other infectious diseases (CC 7),"HWM,HWR",Y
A961,Other infectious diseases (CC 7),"HWM,HWR",Y
A962,Other infectious diseases (CC 7),"HWM,HWR",Y
A968,Other infectious diseases (CC 7),"HWM,HWR",Y
A969,Other infectious diseases (CC 7),"HWM,HWR",Y
A980,Other infectious diseases (CC 7),"HWM,HWR",Y
A981,Other infectious diseases (CC 7),"HWM,HWR",Y
A982,Other infectious diseases (CC 7),"HWM,HWR",Y
A983,Other infectious diseases (CC 7),"HWM,HWR",Y
A984,Other infectious diseases (CC 7),"HWM,HWR",Y
A988,Other infectious diseases (CC 7),"HWM,HWR",Y
A99,Other infectious diseases (CC 7),"HWM,HWR",Y
B000,Other infectious diseases (CC 7),"HWM,HWR",Y
B001,Other infectious diseases (CC 7),"HWM,HWR",Y
B002,Other infectious diseases (CC 7),"HWM,HWR",Y
B0050,Other infectious diseases (CC 7),"HWM,HWR",Y
B0052,Other infectious diseases (CC 7),"HWM,HWR",Y
B0053,Other infectious diseases (CC 7),"HWM,HWR",Y
B0059,Other infectious diseases (CC 7),"HWM,HWR",Y
B0081,Other infectious diseases (CC 7),"HWM,HWR",Y
B0089,Other infectious diseases (CC 7),"HWM,HWR",Y
B009,Other infectious diseases (CC 7),"HWM,HWR",Y
B0181,Other infectious diseases (CC 7),"HWM,HWR",Y
B0189,Other infectious diseases (CC 7),"HWM,HWR",Y
B019,Other infectious diseases (CC 7),"HWM,HWR",Y
B0230,Other infectious diseases (CC 7),"HWM,HWR",Y
B0231,Other infectious diseases (CC 7),"HWM,HWR",Y
B0233,Other infectious diseases (CC 7),"HWM,HWR",Y
B0234,Other infectious diseases (CC 7),"HWM,HWR",Y
B0239,Other infectious diseases (CC 7),"HWM,HWR",Y
B027,Other infectious diseases (CC 7),"HWM,HWR",Y
B028,Other infectious diseases (CC 7),"HWM,HWR",Y
B029,Other infectious diseases (CC 7),"HWM,HWR",Y
B03,Other infectious diseases (CC 7),"HWM,HWR",Y
B04,Other infectious diseases (CC 7),"HWM,HWR",Y
B053,Other infectious diseases (CC 7),"HWM,HWR",Y
B054,Other infectious diseases (CC 7),"HWM,HWR",Y
B0581,Other infectious diseases (CC 7),"HWM,HWR",Y
B0589,Other infectious diseases (CC 7),"HWM,HWR",Y
B059,Other infectious diseases (CC 7),"HWM,HWR",Y
B0600,Other infectious diseases (CC 7),"HWM,HWR",Y
B0609,Other infectious diseases (CC 7),"HWM,HWR",Y
B0689,Other infectious diseases (CC 7),"HWM,HWR",Y
B069,Other infectious diseases (CC 7),"HWM,HWR",Y
B070,Other infectious diseases (CC 7),"HWM,HWR",Y
B078,Other infectious diseases (CC 7),"HWM,HWR",Y
B079,Other infectious diseases (CC 7),"HWM,HWR",Y
B08010,Other infectious diseases (CC 7),"HWM,HWR",Y
B08011,Other infectious diseases (CC 7),"HWM,HWR",Y
B0802,Other infectious diseases (CC 7),"HWM,HWR",Y
B0803,Other infectious diseases (CC 7),"HWM,HWR",Y
B0804,Other infectious diseases (CC 7),"HWM,HWR",Y
B0809,Other infectious diseases (CC 7),"HWM,HWR",Y
B081,Other infectious diseases (CC 7),"HWM,HWR",Y
B0820,Other infectious diseases (CC 7),"HWM,HWR",Y
B0821,Other infectious diseases (CC 7),"HWM,HWR",Y
B0822,Other infectious diseases (CC 7),"HWM,HWR",Y
B083,Other infectious diseases (CC 7),"HWM,HWR",Y
B084,Other infectious diseases (CC 7),"HWM,HWR",Y
B085,Other infectious diseases (CC 7),"HWM,HWR",Y
B0860,Other infectious diseases (CC 7),"HWM,HWR",Y
B0861,Other infectious diseases (CC 7),"HWM,HWR",Y
B0862,Other infectious diseases (CC 7),"HWM,HWR",Y
B0869,Other infectious diseases (CC 7),"HWM,HWR",Y
B0870,Other infectious diseases (CC 7),"HWM,HWR",Y
B0871,Other infectious diseases (CC 7),"HWM,HWR",Y
B0872,Other infectious diseases (CC 7),"HWM,HWR",Y
B0879,Other infectious diseases (CC 7),"HWM,HWR",Y
B088,Other infectious diseases (CC 7),"HWM,HWR",Y
B09,Other infectious diseases (CC 7),"HWM,HWR",Y
B1081,Other infectious diseases (CC 7),"HWM,HWR",Y
B1082,Other infectious diseases (CC 7),"HWM,HWR",Y
B1089,Other infectious diseases (CC 7),"HWM,HWR",Y
B159,Other infectious diseases (CC 7),"HWM,HWR",Y
B179,Other infectious diseases (CC 7),"HWM,HWR",Y
B199,Other infectious diseases (CC 7),"HWM,HWR",Y
B260,Other infectious diseases (CC 7),"HWM,HWR",Y
B2681,Other infectious diseases (CC 7),"HWM,HWR",Y
B2683,Other infectious diseases (CC 7),"HWM,HWR",Y
B2684,Other infectious diseases (CC 7),"HWM,HWR",Y
B2689,Other infectious diseases (CC 7),"HWM,HWR",Y
B269,Other infectious diseases (CC 7),"HWM,HWR",Y
B2700,Other infectious diseases (CC 7),"HWM,HWR",Y
B2701,Other infectious diseases (CC 7),"HWM,HWR",Y
B2709,Other infectious diseases (CC 7),"HWM,HWR",Y
B2710,Other infectious diseases (CC 7),"HWM,HWR",Y
B2711,Other infectious diseases (CC 7),"HWM,HWR",Y
B2719,Other infectious diseases (CC 7),"HWM,HWR",Y
B2780,Other infectious diseases (CC 7),"HWM,HWR",Y
B2781,Other infectious diseases (CC 7),"HWM,HWR",Y
B2789,Other infectious diseases (CC 7),"HWM,HWR",Y
B2790,Other infectious diseases (CC 7),"HWM,HWR",Y
B2791,Other infectious diseases (CC 7),"HWM,HWR",Y
B2799,Other infectious diseases (CC 7),"HWM,HWR",Y
B300,Other infectious diseases (CC 7),"HWM,HWR",Y
B301,Other infectious diseases (CC 7),"HWM,HWR",Y
B302,Other infectious diseases (CC 7),"HWM,HWR",Y
B303,Other infectious diseases (CC 7),"HWM,HWR",Y
B308,Other infectious diseases (CC 7),"HWM,HWR",Y
B309,Other infectious diseases (CC 7),"HWM,HWR",Y
B330,Other infectious diseases (CC 7),"HWM,HWR",Y
B331,Other infectious diseases (CC 7),"HWM,HWR",Y
B333,Other infectious diseases (CC 7),"HWM,HWR",Y
B338,Other infectious diseases (CC 7),"HWM,HWR",Y
B340,Other infectious diseases (CC 7),"HWM,HWR",Y
B341,Other infectious diseases (CC 7),"HWM,HWR",Y
B342,Other infectious diseases (CC 7),"HWM,HWR",Y
B343,Other infectious diseases (CC 7),"HWM,HWR",Y
B344,Other infectious diseases (CC 7),"HWM,HWR",Y
B348,Other infectious diseases (CC 7),"HWM,HWR",Y
B350,Other infectious diseases (CC 7),"HWM,HWR",Y
B351,Other infectious diseases (CC 7),"HWM,HWR",Y
B352,Other infectious diseases (CC 7),"HWM,HWR",Y
B353,Other infectious diseases (CC 7),"HWM,HWR",Y
B354,Other infectious diseases (CC 7),"HWM,HWR",Y
B355,Other infectious diseases (CC 7),"HWM,HWR",Y
B356,Other infectious diseases (CC 7),"HWM,HWR",Y
B358,Other infectious diseases (CC 7),"HWM,HWR",Y
B359,Other infectious diseases (CC 7),"HWM,HWR",Y
B360,Other infectious diseases (CC 7),"HWM,HWR",Y
B361,Other infectious diseases (CC 7),"HWM,HWR",Y
B362,Other infectious diseases (CC 7),"HWM,HWR",Y
B363,Other infectious diseases (CC 7),"HWM,HWR",Y
B368,Other infectious diseases (CC 7),"HWM,HWR",Y
B369,Other infectious diseases (CC 7),"HWM,HWR",Y
B370,Other infectious diseases (CC 7),"HWM,HWR",Y
B372,Other infectious diseases (CC 7),"HWM,HWR",Y
B3741,Other infectious diseases (CC 7),"HWM,HWR",Y
B3742,Other infectious diseases (CC 7),"HWM,HWR",Y
B3749,Other infectious diseases (CC 7),"HWM,HWR",Y
B3782,Other infectious diseases (CC 7),"HWM,HWR",Y
B3783,Other infectious diseases (CC 7),"HWM,HWR",Y
B3784,Other infectious diseases (CC 7),"HWM,HWR",Y
B3789,Other infectious diseases (CC 7),"HWM,HWR",Y
B379,Other infectious diseases (CC 7),"HWM,HWR",Y
B383,Other infectious diseases (CC 7),"HWM,HWR",Y
B387,Other infectious diseases (CC 7),"HWM,HWR",Y
B3881,Other infectious diseases (CC 7),"HWM,HWR",Y
B3889,Other infectious diseases (CC 7),"HWM,HWR",Y
B389,Other infectious diseases (CC 7),"HWM,HWR",Y
B393,Other infectious diseases (CC 7),"HWM,HWR",Y
B394,Other infectious diseases (CC 7),"HWM,HWR",Y
B395,Other infectious diseases (CC 7),"HWM,HWR",Y
B399,Other infectious diseases (CC 7),"HWM,HWR",Y
B403,Other infectious diseases (CC 7),"HWM,HWR",Y
B407,Other infectious diseases (CC 7),"HWM,HWR",Y
B4089,Other infectious diseases (CC 7),"HWM,HWR",Y
B409,Other infectious diseases (CC 7),"HWM,HWR",Y
B417,Other infectious diseases (CC 7),"HWM,HWR",Y
B418,Other infectious diseases (CC 7),"HWM,HWR",Y
B419,Other infectious diseases (CC 7),"HWM,HWR",Y
B420,Other infectious diseases (CC 7),"HWM,HWR",Y
B421,Other infectious diseases (CC 7),"HWM,HWR",Y
B427,Other infectious diseases (CC 7),"HWM,HWR",Y
B4289,Other infectious diseases (CC 7),"HWM,HWR",Y
B429,Other infectious diseases (CC 7),"HWM,HWR",Y
B430,Other infectious diseases (CC 7),"HWM,HWR",Y
B432,Other infectious diseases (CC 7),"HWM,HWR",Y
B438,Other infectious diseases (CC 7),"HWM,HWR",Y
B439,Other infectious diseases (CC 7),"HWM,HWR",Y
B470,Other infectious diseases (CC 7),"HWM,HWR",Y
B471,Other infectious diseases (CC 7),"HWM,HWR",Y
B479,Other infectious diseases (CC 7),"HWM,HWR",Y
B480,Other infectious diseases (CC 7),"HWM,HWR",Y
B481,Other infectious diseases (CC 7),"HWM,HWR",Y
B482,Other infectious diseases (CC 7),"HWM,HWR",Y
B483,Other infectious diseases (CC 7),"HWM,HWR",Y
B49,Other infectious diseases (CC 7),"HWM,HWR",Y
B500,Other infectious diseases (CC 7),"HWM,HWR",Y
B508,Other infectious diseases (CC 7),"HWM,HWR",Y
B509,Other infectious diseases (CC 7),"HWM,HWR",Y
B510,Other infectious diseases (CC 7),"HWM,HWR",Y
B518,Other infectious diseases (CC 7),"HWM,HWR",Y
B519,Other infectious diseases (CC 7),"HWM,HWR",Y
B520,Other infectious diseases (CC 7),"HWM,HWR",Y
B528,Other infectious diseases (CC 7),"HWM,HWR",Y
B529,Other infectious diseases (CC 7),"HWM,HWR",Y
B530,Other infectious diseases (CC 7),"HWM,HWR",Y
B531,Other infectious diseases (CC 7),"HWM,HWR",Y
B538,Other infectious diseases (CC 7),"HWM,HWR",Y
B54,Other infectious diseases (CC 7),"HWM,HWR",Y
B550,Other infectious diseases (CC 7),"HWM,HWR",Y
B551,Other infectious diseases (CC 7),"HWM,HWR",Y
B552,Other infectious diseases (CC 7),"HWM,HWR",Y
B559,Other infectious diseases (CC 7),"HWM,HWR",Y
B560,Other infectious diseases (CC 7),"HWM,HWR",Y
B561,Other infectious diseases (CC 7),"HWM,HWR",Y
B569,Other infectious diseases (CC 7),"HWM,HWR",Y
B570,Other infectious diseases (CC 7),"HWM,HWR",Y
B571,Other infectious diseases (CC 7),"HWM,HWR",Y
B572,Other infectious diseases (CC 7),"HWM,HWR",Y
B5730,Other infectious diseases (CC 7),"HWM,HWR",Y
B5731,Other infectious diseases (CC 7),"HWM,HWR",Y
B5732,Other infectious diseases (CC 7),"HWM,HWR",Y
B5739,Other infectious diseases (CC 7),"HWM,HWR",Y
B5740,Other infectious diseases (CC 7),"HWM,HWR",Y
B5749,Other infectious diseases (CC 7),"HWM,HWR",Y
B575,Other infectious diseases (CC 7),"HWM,HWR",Y
B5800,Other infectious diseases (CC 7),"HWM,HWR",Y
B5809,Other infectious diseases (CC 7),"HWM,HWR",Y
B5882,Other infectious diseases (CC 7),"HWM,HWR",Y
B5883,Other infectious diseases (CC 7),"HWM,HWR",Y
B5889,Other infectious diseases (CC 7),"HWM,HWR",Y
B589,Other infectious diseases (CC 7),"HWM,HWR",Y
B600,Other infectious diseases (CC 7),"HWM,HWR",Y
B6000,Other infectious diseases (CC 7),"HWM,HWR",Y
B6001,Other infectious diseases (CC 7),"HWM,HWR",Y
B6002,Other infectious diseases (CC 7),"HWM,HWR",Y
B6003,Other infectious diseases (CC 7),"HWM,HWR",Y
B6009,Other infectious diseases (CC 7),"HWM,HWR",Y
B6010,Other infectious diseases (CC 7),"HWM,HWR",Y
B6012,Other infectious diseases (CC 7),"HWM,HWR",Y
B6013,Other infectious diseases (CC 7),"HWM,HWR",Y
B6019,Other infectious diseases (CC 7),"HWM,HWR",Y
B602,Other infectious diseases (CC 7),"HWM,HWR",Y
B608,Other infectious diseases (CC 7),"HWM,HWR",Y
B64,Other infectious diseases (CC 7),"HWM,HWR",Y
B650,Other infectious diseases (CC 7),"HWM,HWR",Y
B651,Other infectious diseases (CC 7),"HWM,HWR",Y
B652,Other infectious diseases (CC 7),"HWM,HWR",Y
B653,Other infectious diseases (CC 7),"HWM,HWR",Y
B658,Other infectious diseases (CC 7),"HWM,HWR",Y
B659,Other infectious diseases (CC 7),"HWM,HWR",Y
B660,Other infectious diseases (CC 7),"HWM,HWR",Y
B661,Other infectious diseases (CC 7),"HWM,HWR",Y
B662,Other infectious diseases (CC 7),"HWM,HWR",Y
B663,Other infectious diseases (CC 7),"HWM,HWR",Y
B665,Other infectious diseases (CC 7),"HWM,HWR",Y
B668,Other infectious diseases (CC 7),"HWM,HWR",Y
B669,Other infectious diseases (CC 7),"HWM,HWR",Y
B672,Other infectious diseases (CC 7),"HWM,HWR",Y
B6731,Other infectious diseases (CC 7),"HWM,HWR",Y
B6732,Other infectious diseases (CC 7),"HWM,HWR",Y
B6739,Other infectious diseases (CC 7),"HWM,HWR",Y
B674,Other infectious diseases (CC 7),"HWM,HWR",Y
B6761,Other infectious diseases (CC 7),"HWM,HWR",Y
B6769,Other infectious diseases (CC 7),"HWM,HWR",Y
B677,Other infectious diseases (CC 7),"HWM,HWR",Y
B6790,Other infectious diseases (CC 7),"HWM,HWR",Y
B6799,Other infectious diseases (CC 7),"HWM,HWR",Y
B680,Other infectious diseases (CC 7),"HWM,HWR",Y
B681,Other infectious diseases (CC 7),"HWM,HWR",Y
B689,Other infectious diseases (CC 7),"HWM,HWR",Y
B690,Other infectious diseases (CC 7),"HWM,HWR",Y
B691,Other infectious diseases (CC 7),"HWM,HWR",Y
B6981,Other infectious diseases (CC 7),"HWM,HWR",Y
B6989,Other infectious diseases (CC 7),"HWM,HWR",Y
B699,Other infectious diseases (CC 7),"HWM,HWR",Y
B700,Other infectious diseases (CC 7),"HWM,HWR",Y
B701,Other infectious diseases (CC 7),"HWM,HWR",Y
B710,Other infectious diseases (CC 7),"HWM,HWR",Y
B711,Other infectious diseases (CC 7),"HWM,HWR",Y
B718,Other infectious diseases (CC 7),"HWM,HWR",Y
B719,Other infectious diseases (CC 7),"HWM,HWR",Y
B72,Other infectious diseases (CC 7),"HWM,HWR",Y
B7300,Other infectious diseases (CC 7),"HWM,HWR",Y
B7301,Other infectious diseases (CC 7),"HWM,HWR",Y
B7302,Other infectious diseases (CC 7),"HWM,HWR",Y
B7309,Other infectious diseases (CC 7),"HWM,HWR",Y
B731,Other infectious diseases (CC 7),"HWM,HWR",Y
B740,Other infectious diseases (CC 7),"HWM,HWR",Y
B741,Other infectious diseases (CC 7),"HWM,HWR",Y
B742,Other infectious diseases (CC 7),"HWM,HWR",Y
B743,Other infectious diseases (CC 7),"HWM,HWR",Y
B744,Other infectious diseases (CC 7),"HWM,HWR",Y
B748,Other infectious diseases (CC 7),"HWM,HWR",Y
B749,Other infectious diseases (CC 7),"HWM,HWR",Y
B75,Other infectious diseases (CC 7),"HWM,HWR",Y
B760,Other infectious diseases (CC 7),"HWM,HWR",Y
B761,Other infectious diseases (CC 7),"HWM,HWR",Y
B768,Other infectious diseases (CC 7),"HWM,HWR",Y
B769,Other infectious diseases (CC 7),"HWM,HWR",Y
B770,Other infectious diseases (CC 7),"HWM,HWR",Y
B7789,Other infectious diseases (CC 7),"HWM,HWR",Y
B779,Other infectious diseases (CC 7),"HWM,HWR",Y
B780,Other infectious diseases (CC 7),"HWM,HWR",Y
B787,Other infectious diseases (CC 7),"HWM,HWR",Y
B789,Other infectious diseases (CC 7),"HWM,HWR",Y
B79,Other infectious diseases (CC 7),"HWM,HWR",Y
B80,Other infectious diseases (CC 7),"HWM,HWR",Y
B810,Other infectious diseases (CC 7),"HWM,HWR",Y
B811,Other infectious diseases (CC 7),"HWM,HWR",Y
B812,Other infectious diseases (CC 7),"HWM,HWR",Y
B813,Other infectious diseases (CC 7),"HWM,HWR",Y
B814,Other infectious diseases (CC 7),"HWM,HWR",Y
B818,Other infectious diseases (CC 7),"HWM,HWR",Y
B820,Other infectious diseases (CC 7),"HWM,HWR",Y
B829,Other infectious diseases (CC 7),"HWM,HWR",Y
B830,Other infectious diseases (CC 7),"HWM,HWR",Y
B831,Other infectious diseases (CC 7),"HWM,HWR",Y
B832,Other infectious diseases (CC 7),"HWM,HWR",Y
B833,Other infectious diseases (CC 7),"HWM,HWR",Y
B834,Other infectious diseases (CC 7),"HWM,HWR",Y
B838,Other infectious diseases (CC 7),"HWM,HWR",Y
B839,Other infectious diseases (CC 7),"HWM,HWR",Y
B850,Other infectious diseases (CC 7),"HWM,HWR",Y
B851,Other infectious diseases (CC 7),"HWM,HWR",Y
B852,Other infectious diseases (CC 7),"HWM,HWR",Y
B853,Other infectious diseases (CC 7),"HWM,HWR",Y
B854,Other infectious diseases (CC 7),"HWM,HWR",Y
B86,Other infectious diseases (CC 7),"HWM,HWR",Y
B870,Other infectious diseases (CC 7),"HWM,HWR",Y
B871,Other infectious diseases (CC 7),"HWM,HWR",Y
B872,Other infectious diseases (CC 7),"HWM,HWR",Y
B873,Other infectious diseases (CC 7),"HWM,HWR",Y
B874,Other infectious diseases (CC 7),"HWM,HWR",Y
B8781,Other infectious diseases (CC 7),"HWM,HWR",Y
B8782,Other infectious diseases (CC 7),"HWM,HWR",Y
B8789,Other infectious diseases (CC 7),"HWM,HWR",Y
B879,Other infectious diseases (CC 7),"HWM,HWR",Y
B880,Other infectious diseases (CC 7),"HWM,HWR",Y
B881,Other infectious diseases (CC 7),"HWM,HWR",Y
B882,Other infectious diseases (CC 7),"HWM,HWR",Y
B883,Other infectious diseases (CC 7),"HWM,HWR",Y
B888,Other infectious diseases (CC 7),"HWM,HWR",Y
B889,Other infectious diseases (CC 7),"HWM,HWR",Y
B89,Other infectious diseases (CC 7),"HWM,HWR",Y
B901,Other infectious diseases (CC 7),"HWM,HWR",Y
B902,Other infectious diseases (CC 7),"HWM,HWR",Y
B908,Other infectious diseases (CC 7),"HWM,HWR",Y
B909,Other infectious diseases (CC 7),"HWM,HWR",Y
B92,Other infectious diseases (CC 7),"HWM,HWR",Y
B940,Other infectious diseases (CC 7),"HWM,HWR",Y
B942,Other infectious diseases (CC 7),"HWM,HWR",Y
B948,Other infectious diseases (CC 7),"HWM,HWR",Y
B949,Other infectious diseases (CC 7),"HWM,HWR",Y
B950,Other infectious diseases (CC 7),"HWM,HWR",Y
B951,Other infectious diseases (CC 7),"HWM,HWR",Y
B952,Other infectious diseases (CC 7),"HWM,HWR",Y
B953,Other infectious diseases (CC 7),"HWM,HWR",Y
B954,Other infectious diseases (CC 7),"HWM,HWR",Y
B955,Other infectious diseases (CC 7),"HWM,HWR",Y
B9561,Other infectious diseases (CC 7),"HWM,HWR",Y
B9562,Other infectious diseases (CC 7),"HWM,HWR",Y
B957,Other infectious diseases (CC 7),"HWM,HWR",Y
B958,Other infectious diseases (CC 7),"HWM,HWR",Y
B960,Other infectious diseases (CC 7),"HWM,HWR",Y
B961,Other infectious diseases (CC 7),"HWM,HWR",Y
B9620,Other infectious diseases (CC 7),"HWM,HWR",Y
B9621,Other infectious diseases (CC 7),"HWM,HWR",Y
B9622,Other infectious diseases (CC 7),"HWM,HWR",Y
B9623,Other infectious diseases (CC 7),"HWM,HWR",Y
B9629,Other infectious diseases (CC 7),"HWM,HWR",Y
B963,Other infectious diseases (CC 7),"HWM,HWR",Y
B964,Other infectious diseases (CC 7),"HWM,HWR",Y
B965,Other infectious diseases (CC 7),"HWM,HWR",Y
B966,Other infectious diseases (CC 7),"HWM,HWR",Y
B967,Other infectious diseases (CC 7),"HWM,HWR",Y
B9681,Other infectious diseases (CC 7),"HWM,HWR",Y
B9682,Other infectious diseases (CC 7),"HWM,HWR",Y
B9683,Other infectious diseases (CC 7),"HWM,HWR",Y
B9689,Other infectious diseases (CC 7),"HWM,HWR",Y
B970,Other infectious diseases (CC 7),"HWM,HWR",Y
B9710,Other infectious diseases (CC 7),"HWM,HWR",Y
B9711,Other infectious diseases (CC 7),"HWM,HWR",Y
B9712,Other infectious diseases (CC 7),"HWM,HWR",Y
B9719,Other infectious diseases (CC 7),"HWM,HWR",Y
B9729,Other infectious diseases (CC 7),"HWM,HWR",Y
B9730,Other infectious diseases (CC 7),"HWM,HWR",Y
B9731,Other infectious diseases (CC 7),"HWM,HWR",Y
B9732,Other infectious diseases (CC 7),"HWM,HWR",Y
B9733,Other infectious diseases (CC 7),"HWM,HWR",Y
B9734,Other infectious diseases (CC 7),"HWM,HWR",Y
B9739,Other infectious diseases (CC 7),"HWM,HWR",Y
B974,Other infectious diseases (CC 7),"HWM,HWR",Y
B975,Other infectious diseases (CC 7),"HWM,HWR",Y
B976,Other infectious diseases (CC 7),"HWM,HWR",Y
B977,Other infectious diseases (CC 7),"HWM,HWR",Y
B9781,Other infectious diseases (CC 7),"HWM,HWR",Y
B9789,Other infectious diseases (CC 7),"HWM,HWR",Y
B998,Other infectious diseases (CC 7),"HWM,HWR",Y
B999,Other infectious diseases (CC 7),"HWM,HWR",Y
J020,Other infectious diseases (CC 7),"HWM,HWR",Y
J0300,Other infectious diseases (CC 7),"HWM,HWR",Y
J0301,Other infectious diseases (CC 7),"HWM,HWR",Y
L444,Other infectious diseases (CC 7),"HWM,HWR",Y
L946,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1610,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1611,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1612,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1613,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1619,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1620,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1621,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1622,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1623,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1624,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1629,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1630,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1631,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1632,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1633,Other infectious diseases (CC 7),"HWM,HWR",Y
Z16341,Other infectious diseases (CC 7),"HWM,HWR",Y
Z16342,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1635,Other infectious diseases (CC 7),"HWM,HWR",Y
Z1639,Other infectious diseases (CC 7),"HWM,HWR",Y
A391,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
C880,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
D841,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
D891,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E035,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E15,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E200,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E208,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E20810,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E20811,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E20812,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E20818,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E20819,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E2089,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E209,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E210,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E211,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E212,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E213,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E214,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E215,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E220,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E221,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E222,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E228,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E229,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E230,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E231,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
E232,Other significant endocrine and metabolic disorders; disorders of fluid/electrolyte/acid - base balance (CC 23 - 24),"HWR,R,E",N
